From;To;active_power_in_watt;volume_flow_natural_gas_in_liter_per_min;volume_flow_nitrogen_in_liter_per_min;
27.05.2021 10:44:59;27.05.2021 10:45:00;2741,52587890625;200;1,700054407119751;
27.05.2021 10:45:00;27.05.2021 10:45:01;1976,2030029296875;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:01;27.05.2021 10:45:02;1257,81494140625;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:02;27.05.2021 10:45:03;1670,256591796875;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:03;27.05.2021 10:45:04;1616,9285888671875;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:04;27.05.2021 10:45:05;1619,926025390625;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:05;27.05.2021 10:45:06;1550,1927490234375;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:06;27.05.2021 10:45:07;1429,2645263671875;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:07;27.05.2021 10:45:08;1558,7431640625;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:08;27.05.2021 10:45:09;3863,5625;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:09;27.05.2021 10:45:10;5240,5849609375;150,56295776367187;1,6999250650405884;
27.05.2021 10:45:10;27.05.2021 10:45:11;3005,394775390625;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:11;27.05.2021 10:45:12;2830,17431640625;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:12;27.05.2021 10:45:13;2748,4189453125;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:13;27.05.2021 10:45:14;2811,994140625;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:14;27.05.2021 10:45:15;2883,06396484375;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:15;27.05.2021 10:45:16;2772,673828125;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:16;27.05.2021 10:45:17;2757,896728515625;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:17;27.05.2021 10:45:18;2755,864013671875;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:18;27.05.2021 10:45:19;2740,2373046875;100,00204467773437;1,7066664695739746;
27.05.2021 10:45:19;27.05.2021 10:45:20;2730,08740234375;100,00204467773437;1,7066664695739746;
